,Unnamed: 0,Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
954,954,20120294,2012,9/16/2012 6:30 PM,ENTERPRISE CRUDE PIPELINE LLC,TEXAS CITY TANK FARM,ONSHORE,UNDERGROUND,CRUDE OIL,,TEXAS CITY,GALVESTON,TX,CORROSION,INTERNAL,40.0,,40.0,0.0,NO,NO,YES,20000.0,4000.0,0.0,20000.0,110000.0,0.0,154000
2402,2402,20160043,2016,1/21/2016 3:34 PM,ENTERPRISE PRODUCTS OPERATING LLC,OLTON STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),HALFWAY,HALE ,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.0,3.0,0.0,1.0,NO,NO,NO,100.0,100.0,0.0,0.0,0.0,0.0,200
1724,1724,20140285,2014,07-11-14 11:34,EXPLORER PIPELINE CO,HAMMOND TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),HAMMOND,LAKE,IN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,10.0,,10.0,0.0,NO,NO,NO,250.0,600.0,0.0,10000.0,108681.0,0.0,119531
257,257,20100237,2010,9/30/2010 8:30 AM,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,THOMAS,GREGG,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.0,0.0,0.0,1.0,NO,NO,NO,2246.0,77.0,0.0,1659.0,0.0,0.0,3982
165,165,20100148,2010,6/16/2010 11:35 AM,SUNOCO PIPELINE L.P.,COLMESNEIL STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,COLMESNEIL,TYLER,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.14,0.0,0.0,0.14,NO,NO,YES,1000.0,11.0,0.0,2000.0,2000.0,0.0,5011
2042,2042,20150147,2015,04-01-15 10:00,PHILLIPS 66 PIPELINE LLC,MIDDLEWATER PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,LOST HILLS,KERN,CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.66,,1.66,0.0,NO,NO,YES,500.0,85.0,0.0,7000.0,0.0,0.0,7585
1962,1962,20150079,2015,02-01-15 10:30,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",KANSAS CITY,WYANDOTTE,KS,CORROSION,EXTERNAL,308.0,,308.0,0.0,NO,NO,YES,60000.0,5000.0,0.0,60000.0,121598.0,0.0,246598
1499,1499,20140062,2014,1/24/2014 12:50 PM,"MAGELLAN PIPELINE COMPANY, LP",ODESSA TERMINAL #257,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),ODESSA,ECTOR,TX,NATURAL FORCE DAMAGE,TEMPERATURE,0.5,,0.5,0.0,NO,NO,YES,2000.0,60.0,0.0,12000.0,0.0,0.0,14060
2078,2078,20150225,2015,4/29/2015 11:00 AM,PETROLEUM FUEL AND TERMINAL COMPANY,ERDMAN AVENUE TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BALTIMORE,Not Within a County or Parish,MD,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.24,,0.24,0.0,NO,NO,NO,136851.0,29.0,0.0,0.0,695.0,0.0,137575
2409,2409,20160054,2016,1/26/2016 8:00 AM,PHILLIPS 66 PIPELINE LLC,AM-10 / BORGER PRODUCTS TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BORGER,HUTCHINSON,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2.8,,2.8,0.0,NO,NO,NO,200.0,90.0,0.0,0.0,5000.0,0.0,5290
1407,1407,20130377,2013,10/29/2013 4:00 PM,EXPLORER PIPELINE CO,"DECATUR, IL PUMP STATION",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BLUE MOUND,CHRISTIAN,IL,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.17,,1.17,0.0,NO,NO,NO,1000.0,150.0,0.0,15000.0,0.0,0.0,16150
1083,1083,20140097,2013,1/17/2013 4:00 PM,"DELEK LOGISTICS OPERATING, LLC.",PERRY TANK FARM,ONSHORE,UNDERGROUND,CRUDE OIL,,EL DORADO,UNION,AR,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",31.2,,30.0,1.2,NO,NO,YES,7500.0,3100.0,0.0,3600.0,8000.0,0.0,22200
2097,2097,20150217,2015,5/13/2015 8:29 AM,"PLAINS PIPELINE, L.P.",WICHITA FALLS PL,ONSHORE,ABOVEGROUND,CRUDE OIL,,WICHITA FALLS ,WICHITA FALLS,TX,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,1.0,,1.0,0.0,NO,NO,NO,0.0,57.0,0.0,3437.0,0.0,0.0,3494
2652,2652,20160290,2016,8/18/2016 11:00 AM,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BATON ROUGE,EAST BATON ROUGE PARISH,LA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.69,,0.69,0.0,NO,NO,NO,174000.0,40.0,0.0,5000.0,0.0,0.0,179040
1871,1871,20140424,2014,11/18/2014 11:45 AM,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,TANK,CRUDE OIL,,CUSHING,PAYNE,OK,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,,1.0,0.0,NO,NO,NO,5000.0,100.0,0.0,10000.0,5000.0,0.0,20100
2482,2482,20160123,2016,3/23/2016 7:39 PM,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",MAJORSVILLE TO HOUSTON,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,HOUSTON,WASHINGTON,PA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,29.0,28.0,0.0,29.0,NO,NO,YES,9000.0,1219.0,0.0,0.0,0.0,20000.0,30219
1130,1130,20130105,2013,2/15/2013 3:00 PM,"MAGELLAN PIPELINE COMPANY, LP",LOGAN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",TEXAS CITY,GALVESTON,TX,INCORRECT OPERATION,INCORRECT VALVE POSITION,25.0,,24.0,1.0,NO,NO,YES,0.0,0.0,0.0,100000.0,0.0,0.0,100000
256,256,20100236,2010,9/28/2010 1:46 PM,SUNOCO PIPELINE L.P.,HEBERT STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BEAUMONT,JEFFERSON,TX,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0.24,0.0,0.24,0.0,NO,NO,YES,500.0,20.0,0.0,0.0,500.0,0.0,1020
1947,1947,20150061,2015,1/22/2015 9:00 AM,"PLAINS PIPELINE, L.P.",MCCAMEY,ONSHORE,ABOVEGROUND,CRUDE OIL,,MCCAMEY,UPTON,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,,2.0,0.0,NO,NO,NO,6500.0,100.0,0.0,1800.0,0.0,0.0,8400
192,192,20100172,2010,7/21/2010 1:02 PM,ONEOK NGL PIPELINE LP,STERLING 2/SHEPHERD BOOSTER,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,SAN JACINTO,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.2,0.2,0.0,3.2,NO,NO,NO,15.0,66.0,0.0,120.0,0.0,0.0,201
2119,2119,20150237,2015,06-01-15 4:09,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,RAMAH PUMP STATION,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,IBERVILLE,LA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",8.98,9.63,7.18,1.8,NO,NO,YES,49400.0,635.0,0.0,17820.0,0.0,0.0,67855
2607,2607,20160257,2016,7/22/2016 7:23 PM,"BUCKEYE PARTNERS, LP",HAMMOND JCT,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",HAMMOND,LAKE,IN,INCORRECT OPERATION,INCORRECT INSTALLATION,4.76,,4.76,0.0,NO,NO,YES,1000.0,380.0,5000.0,23000.0,50000.0,0.0,79380
2774,2774,20170011,2016,12/13/2016 9:50 AM,"ONEOK NGL PIPELINE, LLC",ENTERPRISE EAST FACILITY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MOUNT BELVIEU,CHAMBERS,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,4.16,8.0,0.0,4.16,NO,NO,YES,100.0,575.0,0.0,1500.0,0.0,0.0,2175
135,135,20100101,2010,5/27/2010 3:50 AM,"PETROLOGISTICS OLEFINS, LLC",CHOCTAW TERMINAL,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PLAQUEMINE,IBERVILLE,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.31,0.0,0.0,1.31,NO,NO,YES,2720.0,1500.0,0.0,1000.0,362809.44025834225,34356.03958258366,5220
2709,2709,20160355,2016,10-12-16 8:00,"BUCKEYE PARTNERS, LP",BH,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BOOTHWYN,DELAWARE,PA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.6,,0.6,0.0,NO,NO,NO,1000.0,0.0,0.0,100.0,0.0,0.0,1100
979,979,20120313,2012,10/13/2012 5:30 PM,"MAGELLAN TERMINALS HOLDINGS, LP",CUSHING CENTRAL CRUDE,ONSHORE,ABOVEGROUND,CRUDE OIL,,CUSHING,LINCOLN,OK,NATURAL FORCE DAMAGE,HIGH WINDS,1.0,0.0,0.98,0.02,NO,NO,YES,0.0,0.0,0.0,17000.0,0.0,0.0,17000
151,151,20100142,2010,06-07-10 12:50,MARATHON PIPE LINE LLC,"WABASH 12"" PRODUCTS",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",ASHMORE,COLES,IL,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0.1,0.0,0.1,0.0,NO,NO,YES,0.0,10.0,0.0,145736.0,141318.0,0.0,287064
581,581,20110351,2011,8/28/2011 11:30 AM,MARATHON PIPE LINE LLC,"WABASH 12"" PRODUCTS/CHAMPAIGN STATION",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),CHAMPAIGN,CHAMPAIGN,IL,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.2,0.0,0.2,0.0,NO,NO,NO,0.0,20.0,0.0,4637.0,5527.0,0.0,10184
2553,2553,20160203,2016,5/30/2016 6:00 PM,"KINDER MORGAN LIQUID TERMINALS, LLC",KINDER MORGAN CARTERET,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",CARTERET,MIDDLESEX,NJ,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,24.0,,18.0,6.0,NO,NO,NO,0.0,0.0,0.0,30850.0,35471.0,0.0,66321
728,728,20120064,2012,02-07-12 8:00,"PLAINS MARKETING, L.P.",LONG BEACH PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,LONG BEACH,LOS ANGELES,CA,CORROSION,EXTERNAL,0.5,0.0,0.5,0.0,NO,NO,NO,20000.0,50.0,0.0,5000.0,0.0,0.0,25050
68,68,20100044,2010,3/21/2010 1:00 AM,BP PIPELINE (NORTH AMERICA) INC.,MOKENA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,MOKENA,WILL,IL,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,90.0,0.0,90.0,0.0,NO,NO,YES,12000.0,6500.0,0.0,120000.0,20000.0,0.0,158500
360,360,20110044,2011,1/13/2011 2:05 PM,ONEOK NGL PIPELINE LP,ARBUCKLE PIPELINE/DEVON CANA PLANT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),CALUMET,CANADIAN,OK,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,406.0,1366.0,0.0,406.0,NO,NO,YES,7000.0,18899.0,0.0,0.0,0.0,0.0,25899
1054,1054,20130020,2012,12/24/2012 7:17 AM,MARATHON PIPE LINE LLC,"BYRON - SILVERTIP 12""-10""",ONSHORE,ABOVEGROUND,CRUDE OIL,,BYRON,BIG HORN,WY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.7,0.0,0.7,0.0,NO,NO,YES,2000.0,80.0,0.0,2700.0,200.0,0.0,4980
392,392,20110076,2011,02-08-11 12:18,ENTERPRISE PRODUCTS OPERATING LLC,ENTERPRISE WEST STORAGE FACILITY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MONT BELVIEU,CHAMBERS,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,0.0,0.0,0.0,YES,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0,0
343,343,20100311,2010,12/24/2010 2:10 PM,ONEOK NGL PIPELINE LP,ONEOK NGL PIPELINE-- STERLING 1 PIPELINE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),TRENTON,FANNIN,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",7.0,35.0,0.0,7.0,NO,NO,YES,115000.0,355.0,0.0,10000.0,0.0,0.0,125355
2761,2761,20160432,2016,12-01-16 3:57,HARVEST PIPELINE COMPANY,TCV CO2 PIPELINE,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),,THOMPSON,FORTBEND,UT,ALL OTHER CAUSES,MISCELLANEOUS,0.24,0.0,0.0,0.24,NO,NO,YES,50.0,1.0,0.0,0.0,0.0,0.0,51
1356,1356,20130325,2013,8/22/2013 5:45 PM,ENTERPRISE PRODUCTS OPERATING LLC,EL DORADO - COFFEYVILLE LOOP,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",COFFEYVILLE,MONTGOMERY,KS,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.6,,0.6,0.0,NO,NO,NO,20000.0,0.0,0.0,0.0,20000.0,0.0,40000
1889,1889,20150007,2014,12-08-14 9:30,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 5,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MANISTIQUE,SCHOOLCRAFT,MI,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,0.0,0.0,0.0,NO,NO,YES,214500.0,0.0,0.0,0.0,0.0,0.0,214500
82,82,20100063,2010,04-03-10 14:55,KINDER MORGAN PIPELINES (USA) INC,PLATTE PIPE LINE CO.,ONSHORE,ABOVEGROUND,CRUDE OIL,,GOWER,BUCHANAN,MO,CORROSION,INTERNAL,20.0,,20.0,0.0,NO,NO,YES,90000.0,240.0,0.0,51000.0,48000.0,0.0,189240
1556,1556,20140116,2014,03-02-14 13:15,ENTERPRISE PRODUCTS OPERATING LLC,SKELLY-BELVIEU MAINLINE,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,MONTGOMERY,MONTGOMERY,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.6,26.15,0.0,0.6,NO,NO,NO,1500.0,50.0,0.0,0.0,0.0,0.0,1550
2535,2535,20160181,2016,5/15/2016 12:35 PM,PHILLIPS 66 PIPELINE LLC,PASADENA TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),PASADENA,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,3.61,,3.61,0.0,NO,NO,NO,24000.0,350.0,0.0,107000.0,7500.0,0.0,138850
637,637,20110426,2011,10/24/2011 12:55 PM,"SHELL PIPELINE CO., L.P.",OLIG PUMP STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,MCKITTRICK,KERN,CA,CORROSION,EXTERNAL,3.0,0.0,3.0,0.0,NO,NO,YES,2500.0,150.0,0.0,2500.0,500.0,0.0,5650
1153,1153,20130112,2013,03-05-13 5:00,ENTERPRISE CRUDE PIPELINE LLC,COWDEN PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,STANTON,MARTIN,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.5,,1.0,0.5,NO,NO,YES,5500.0,150.0,0.0,0.0,0.0,0.0,5650
1199,1199,20130166,2013,04-12-13 10:29,"NUSTAR LOGISTICS, L.P.",68P GARDENDALE PIPELINE SYSTEM ,ONSHORE,UNDERGROUND,CRUDE OIL,,COTULLA,LA SALLE,TX,CORROSION,INTERNAL,16.1,,16.1,0.0,NO,NO,YES,141492.0,2125.0,0.0,99647.0,0.0,0.0,243264
760,760,20120092,2012,03-05-12 7:10,ENTERPRISE CRUDE PIPELINE LLC,RINGGOLD STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,RINGGOLD,MONTAGUE,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1.5,0.0,0.0,1.5,NO,NO,,0.0,200.0,0.0,0.0,1850.0,0.0,2050
2141,2141,20150264,2015,6/18/2015 8:09 AM,"NUSTAR LOGISTICS, L.P.",40P HOUSTON LPG PIPELINE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MATAGORDA,TX,CORROSION,EXTERNAL,315.0,0.0,0.0,315.0,NO,NO,NO,271645.0,6383.0,0.0,153556.0,0.0,7392.0,438976
453,453,20110133,2011,04-11-11 8:00,WEST TEXAS GULF PIPELINE CO,WORTHAM STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,WORTHAM,FREESTONE,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.24,0.0,0.24,0.0,NO,NO,NO,300.0,25.0,0.0,1500.0,0.0,0.0,1825
821,821,20120155,2012,4/23/2012 9:40 AM,ENTERPRISE CRUDE PIPELINE LLC,,ONSHORE,ABOVEGROUND,CRUDE OIL,,WEST COLUMBIA,BRAZORIA,TX,CORROSION,INTERNAL,3.0,0.0,3.0,0.0,NO,NO,,2500.0,350.0,0.0,6000.0,6000.0,0.0,14850
1304,1304,20130261,2013,7/15/2013 12:10 PM,ENTERPRISE PRODUCTS OPERATING LLC,CAPE GIRARDEAU TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),SCOTT CITY,SCOTT COUNTY,MO,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,1.9,,1.9,0.0,NO,NO,YES,7000.0,350.0,0.0,10000.0,14727.0,0.0,32077
2124,2124,20150233,2015,06-05-15 8:20,COLONIAL PIPELINE CO,YORKTOWN JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),WILLIAMSBURG,JAMES CITY,VA,ALL OTHER CAUSES,MISCELLANEOUS,0.67,,0.67,0.0,NO,NO,NO,100.0,100.0,0.0,8500.0,1000.0,2000.0,11700
