Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20100150,2010,01-11-10 14:30,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,NATURAL FORCE DAMAGE,TEMPERATURE,2237,25,0,2237,NO,NO,YES,0,29360,136233,NaN,NaN,NaN,NaN,165593
20100262,2010,01-11-10 14:47,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,TAFT,SAN PATRICO,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,3,0,NO,NO,YES,0,30000,415,10000,7971,308883,0,357269
20100234,2010,01-11-10 15:00,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,CHASE,RICE,KS,CORROSION,INTERNAL,2,NaN,1,1,NO,NO,YES,NaN,2000,150,0,3000,6500,500,12150
20100026,2010,01-11-10 23:00,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,NaN,NaN,CUSHING,PAYNE,OK,NATURAL FORCE DAMAGE,TEMPERATURE,53,0,51,2,NO,NO,NO,NaN,5000,150,0,0,100,32600,37850
20100106,2010,01-12-10 10:25,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,CUSHING,LINCOLN,OK,CORROSION,INTERNAL,21,0,21,0,NO,NO,YES,0,6826,150,0,13357,0,0,20333
20100082,2010,01-12-10 14:30,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,RUSHVILLE,SCHUYLER,IL,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0,0.19,0,NO,NO,NO,NaN,2500,0,0,30000,0,0,32500
20100037,2010,01-12-10 19:08,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,NaN,PAWNEE,PAWNEE,OK,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445,5,0,445,NO,NO,YES,19,175000,34000,68000,324000,1901615,15000,2517615
20100025,2010,1/13/2010 7:36 AM,"SHELL PIPELINE CO., L.P.",SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0,0,3.49,NO,NO,NO,0,0,254,0,0,0,0,254
20110071,2010,1/13/2010 1:30 PM,"KINDER MORGAN LIQUID TERMINALS, LLC",NaN,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,GALENA PARK,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6,0,6,0,NO,NO,NO,NaN,0,504,0,0,30000,0,30504
20100100,2010,1/13/2010 3:30 PM,"KOCH PIPELINE COMPANY, L.P.",PARK RAPIDS PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,MENAHGA,HUBBARD,MN,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0,0,0.48,NO,NO,NO,0,0,34,0,0,64645,2000,66679
20100057,2010,1/14/2010 1:15 PM,KIANTONE PIPELINE CORP,GOWANDA BOOSTER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,GOWANDA,CATTARAUGUS,NY,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,NaN,0.2,0.04,NO,NO,NO,NaN,5000,17,0,50000,20000,0,75017
20110083,2010,1/15/2010 7:05 AM,PACIFIC PIPELINE SYSTEM LLC,LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,CARSON,LOS ANGELES,CA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1,0,1,0,NO,NO,NO,NaN,0,75000,0,1000000,3500000,0,4575000
20100231,2010,1/15/2010 3:00 PM,JAYHAWK PIPELINE LLC,NaN,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,ELLIS,ELLIS,KS,CORROSION,INTERNAL,5,NaN,2,3,NO,NO,YES,NaN,0,180,700,0,1500,1500,3880
20100071,2010,1/18/2010 10:00 AM,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),NaN,PRINCETON,GIBSON,IN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2,0,0,2,NO,NO,NO,NaN,1000,100,0,0,0,0,1100
20100031,2010,1/19/2010 1:10 PM,"MAGELLAN PIPELINE COMPANY, LP",AURORA PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JET FUEL,AURORA,ADAMS COUNTY,CO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,NaN,0.9,0.89,NO,NO,NO,NaN,3500,500,0,10000,12000,0,26000
20100087,2010,1/19/2010 8:00 PM,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,HARTFORD,MADISON,IL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3,0,2,1,NO,NO,YES,0,41000,85,0,5100,0,0,46185
20100091,2010,1/21/2010 9:30 AM,PACIFIC PIPELINE SYSTEM LLC,NORTH COLES LEVEE,ONSHORE,TANK,CRUDE OIL,NaN,NaN,TAFT,KERN,CA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2,0,2,0,NO,NO,NO,NaN,1200,150,0,2000,4457,0,7807
20100177,2010,1/21/2010 12:30 PM,PLANTATION PIPE LINE CO,FLUKER STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,GREENSBURG,ST. HELENA,LA,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,NaN,6.76,0,NO,NO,YES,NaN,85000,570,0,105000,10000,0,200570
20100257,2010,1/21/2010 6:43 PM,PLANTATION PIPE LINE CO,KOLA PUMPING STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,COLLINS,COVINGTON,MS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0,0.71,0,NO,NO,NaN,NaN,2130,0,0,670,0,0,2800
20120021,2010,1/22/2010 12:05 PM,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,EL DORADO STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,EL DORADO,BUTLER COUNTY,KS,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,0,1.2,0,NO,NO,NO,0,0,0,0,3623,3263,1981,8867
20100072,2010,1/24/2010 12:30 PM,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),NaN,PRINCETON,GIBSON,IN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1,0,0,1,NO,NO,NO,NaN,2000,100,0,0,0,0,2100
20100017,2010,1/25/2010 11:07 AM,LOOP INC,LOOP LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,CUT OFF,LAFOURCHE,LA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202,0,202,0,NO,NO,YES,0,30000,0,0,600000,37000,0,667000
20100018,2010,1/27/2010 3:30 PM,"SHELL PIPELINE CO., L.P.",PORT ARTHUR TK FM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,PORT ARTHUR,JEFFERSON,TX,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0,0,0.6,NO,NO,NO,NaN,50000,65,0,10000,0,0,60065
20100084,2010,1/28/2010 11:00 AM,BELLE FOURCHE PIPELINE CO,DICKINSON GATHERING,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,DICKINSON,STARK,ND,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20,NaN,13,7,NO,NO,YES,0,500,420,0,750,9500,0,11170
20110376,2010,02-02-10 8:00,SEMGROUP LP,FLEMING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,HARPER,HARPER,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15,0,10,5,NO,NO,NaN,0,3000,500,0,2000,1000,0,6500
20100244,2010,02-04-10 15:10,WEST SHORE PIPELINE CO,MITCHELL FIELD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,MILWAUKEE,MILWAUKEE,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0,0.19,0.05,NO,NO,NaN,NaN,2500,35,0,0,1986,0,4521
20100032,2010,02-06-10 11:30,"MAGELLAN PIPELINE COMPANY, LP",EL DORADO WEST STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,EL DORADO,BUTLER,KS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3,0,1.67,1.33,NO,NO,NaN,NaN,100,200,0,3000,1500,0,4800
20100233,2010,02-08-10 12:20,"SHELL PIPELINE CO., L.P.",ERATH - EAST HOUSTON CRUDE,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,LAKE ARTHUR,JEFFERSON DAVIS,LA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5,0,0,5,NO,NO,YES,0,230000,400,30000,120000,0,0,380400
20100256,2010,02-09-10 10:00,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,BATON ROUGE,EAST BATON ROUGE,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0,0.64,0,NO,NO,NaN,NaN,500,0,0,450,0,0,950
20100253,2010,02-09-10 15:25,"BUCKEYE PARTNERS, LP",CLERMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,LINCOLN,HENDRICKS,IN,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0,0.71,0,NO,NO,NO,0,0,0,0,2314,3063,0,5377
20100001,2010,2/16/2010 7:42 AM,"MAGELLAN PIPELINE COMPANY, LP",WAYNE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,WAYNE,DUPAGE,IL,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0,0.12,0,NO,NO,NO,NaN,25900,15,0,1500,1900,1200,30515
20100036,2010,2/17/2010 5:45 PM,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,KANSAS CITY,WYANDOTTE,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,NaN,0.12,0,NO,NO,NO,NaN,1000,14,0,0,500,0,1514
20100004,2010,2/19/2010 6:50 AM,"BUCKEYE PARTNERS, LP",LINDEN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,LINDEN,UNION,NJ,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,NaN,0.95,0,NO,NO,YES,NaN,0,0,0,4400,12700,0,17100
20100009,2010,2/20/2010 6:30 AM,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,LONGVIEW,GREGG,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8,0,6,2,NO,NO,YES,0,3449,152,0,5634,84278,0,93513
20100005,2010,2/21/2010 12:45 PM,"PLAINS PIPELINE, L.P.",D-BOOSTER 10-INCH,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,MCCAMEY,UPTON,TX,CORROSION,INTERNAL,9,0,9,0,NO,NO,NO,0,700,585,0,600,11000,4600,17485
20100003,2010,2/22/2010 10:38 AM,LDH ENERGY PIPELINE L.P.,W. TX. NGL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),NaN,BIG SPRING,HOWARD,TX,CORROSION,EXTERNAL,1,116,0,1,NO,NO,NO,0,0,2360,0,0,0,24500,26860
20100006,2010,2/22/2010 10:56 AM,CONOCOPHILLIPS,NORTH SPOKANE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,SPOKANE,SPOKANE,WA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,NaN,0,0.71,NO,NO,NO,0,500,90,0,2200,6000,0,8790
20100007,2010,2/23/2010 11:30 PM,ONEOK NGL PIPELINE LP,HEARTLAND COUNCIL BLUFFS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,COUNCIL BLUFFS,POTTAWATAMIE,IA,INCORRECT OPERATION,INCORRECT VALVE POSITION,28,0,0,28,NO,NO,NO,0,0,2286,0,0,126721,0,129007
20100008,2010,2/25/2010 4:50 AM,ONEOK NGL PIPELINE LP,"10"" PIPELINE FROM HWY 64 JCT. TO MEDFORD PLANT",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,RAW FEED,POND CREEK,GRANT,OK,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718,0,0,13718,NO,NO,YES,5,966352,622934,7500,3000,0,0,1599786
20100010,2010,2/25/2010 10:00 AM,COLONIAL PIPELINE CO,NaN,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,NaN,NaN,NC,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0,0.55,0,NO,NO,NaN,NaN,15200,50,0,0,0,700,15950
20100014,2010,03-01-10 8:10,MID - VALLEY PIPELINE CO,LONGVIEW STATION,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,LONGVIEW,GREGG,TX,CORROSION,INTERNAL,198,0,196,2,NO,NO,YES,0,1134,150,0,11470,3264,0,16018
20100011,2010,03-01-10 9:16,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,CLEARBROOK TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,CLEARBROOK,CLEARWATER,MN,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,3,0,3,0,NO,NO,YES,0,0,80,0,0,3000,16000,19080
20100002,2010,03-01-10 11:50,"CHAPARRAL ENERGY, LLC",NaN,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),NaN,NaN,HAYNE,SEWARD,KS,ALL OTHER CAUSES,MISCELLANEOUS,2.99,NaN,0,2.99,NO,NO,YES,0,3500,10,0,0,0,0,3510
20100020,2010,03-03-10 22:20,ENTERPRISE PRODUCTS OPERATING LLC,NaN,OFFSHORE,NaN,CRUDE OIL,NaN,NaN,NaN,NaN,NaN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,0,0,0.5,NO,NO,NO,0,100,75,0,598,0,0,773
20100012,2010,03-04-10 5:30,COLONIAL PIPELINE CO,LAKE CHARLES LINE 1 DYNATROL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,SULPHUR,CALCASIEU,LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,7.88,0,7.08,0.8,NO,NO,YES,NaN,7000,500,13000,15000,27000,2500,65000
20100015,2010,03-04-10 23:00,EXXONMOBIL PIPELINE CO,SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.31,NaN,0,0.31,NO,NO,YES,0,13500,94,0,0,0,0,13594
20100013,2010,03-08-10 11:01,SINCLAIR TRANSPORTATION COMPANY,MID-CONTINENT PIPELINE SYSTEM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,CARROLLTON,CARROLL,MO,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,84,0,83,1,NO,NO,NO,0,0,90,0,5849,5348,0,11287
20100061,2010,03-08-10 11:30,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,KANSAS CITY,WYANDOTTE,KS,NATURAL FORCE DAMAGE,TEMPERATURE,168,0,75,93,NO,NO,NO,0,0,11625,0,1000,72995,0,85620
20100022,2010,03-09-10 11:25,SUNOCO PIPELINE L.P.,TEXOMA STATION,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,LONGVIEW,GREGG,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1,NaN,0.5,0.5,NO,NO,NO,NaN,2500,39,0,2500,0,0,5039
20100023,2010,03-09-10 14:15,SUNOCO PIPELINE L.P.,CORSICANA STATION,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,CORSICANA,NAVARRO,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1,NaN,0.05,0.95,NO,NO,NO,NaN,17019,78,0,7967,1000,0,26064
20100034,2010,03-11-10 10:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,SUPERIOR,DOUGLAS,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.75,0,0.75,0,NO,NO,NO,0,1000,60,0,5000,2000,0,8060
20100035,2010,3/14/2010 10:04 PM,"MAGELLAN PIPELINE COMPANY, LP",MILFORD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,MILFORD,DICKINSON,IA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,115,0,45,70,NO,NO,YES,0,50,9000,2500,340000,160000,0,511550
20100043,2010,3/15/2010 9:30 AM,SUNOCO PIPELINE L.P.,COMYN STATION,ONSHORE,TANK,CRUDE OIL,NaN,NaN,COMYN,COMANCHE,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,NaN,0,0.12,NO,NO,NO,NaN,0,10,0,755,0,0,765
20100019,2010,3/15/2010 10:00 AM,"TEPPCO CRUDE PIPELINE, LLC",NaN,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,HOBBS,LEA,NM,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2,0,2,0,NO,NO,NO,NaN,1000,160,0,0,0,0,1160
20100039,2010,3/15/2010 3:55 PM,SUNOCO PIPELINE L.P.,SATTERWHITE JUNCTION,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,WHITE OAK,GREGG,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.6,NaN,0,0.6,NO,NO,YES,NaN,NaN,46,NaN,10999,452,NaN,11497
20100042,2010,3/16/2010 11:10 AM,"SFPP, LP",LS 20,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),NaN,SACRAMENTO,SACRAMENTO,CA,CORROSION,INTERNAL,48,0,5.12,42.88,NO,NO,YES,0,60000,490,0,70000,299510,50000,480000
